date;open;low;high;close;vol
07.08.2018;1854.530029;1846.27002;1869.719971;1862.47998;3377500
08.08.2018;1861;1854.5;1891.51001;1886.52002;3963000
09.08.2018;1882;1877.47998;1914.569946;1898.52002;4860400
10.08.2018;1888.51001;1878.209961;1899.5;1886.300049;3639900
13.08.2018;1898.5;1893.670044;1925;1896.199951;5531500
14.08.2018;1919.390015;1900;1921.01001;1919.650024;3986100
15.08.2018;1909.550049;1869.790039;1916.209961;1882.619995;7700700
16.08.2018;1903.939941;1883.550049;1905;1886.52002;3957100
17.08.2018;1885.800049;1855.550049;1888;1882.219971;4104300
20.08.2018;1890.569946;1866.060059;1891.75;1876.709961;2862000
21.08.2018;1880;1874.410034;1897.75;1883.420044;3105600
22.08.2018;1876.640015;1876.640015;1905.800049;1904.900024;3080500
23.08.2018;1907.170044;1900.76001;1919.5;1902.900024;3563000
24.08.2018;1910.51001;1902.540039;1916.01001;1905.390015;2800900
27.08.2018;1915;1909.280029;1927.699951;1927.680054;3569000
28.08.2018;1937.72998;1928.819946;1941.780029;1932.819946;3100700
29.08.2018;1953.449951;1948.939941;1998.689941;1998.099976;6531800
30.08.2018;1997.420044;1986.900024;2025.569946;2002.380005;7277300
31.08.2018;2007;2004.73999;2022.380005;2012.709961;4204400
04.09.2018;2026.5;2013;2050.5;2039.51001;5721100
05.09.2018;2038.109985;1989.890015;2040.380005;1994.819946;8220600
06.09.2018;2006.51001;1935.209961;2007.5;1958.310059;7488700
07.09.2018;1938.709961;1937.349976;1975.199951;1952.069946;4892600
10.09.2018;1971;1931.52002;1973.040039;1939.01001;4544800
11.09.2018;1928.27002;1917;1988.880005;1987.150024;5033600
12.09.2018;1994;1962.439941;2000;1990;4414000
13.09.2018;2000;1982.030029;2008.76001;1989.869995;3621500
14.09.2018;1992.930054;1959.219971;1993.650024;1970.189941;3642000
17.09.2018;1954.72998;1887.410034;1956.819946;1908.030029;7050200
18.09.2018;1918.650024;1915.439941;1958.199951;1941.050049;4268700
19.09.2018;1940.5;1904.900024;1940.829956;1926.420044;4056800
20.09.2018;1938.579956;1932.25;1955;1944.300049;3154900
21.09.2018;1954.219971;1910.5;1957.310059;1915.01001;6855900
24.09.2018;1903.790039;1865;1936.880005;1934.359985;4213700
25.09.2018;1942.900024;1938.849976;1975.910034;1974.550049;4538400
26.09.2018;1968.5;1961.52002;1995.25;1974.849976;4313500
27.09.2018;1993.23999;1988.579956;2016.160034;2012.97998;4329400
28.09.2018;2004.410034;1996.459961;2026.52002;2003;4085100
01.10.2018;2021.98999;2003.599976;2033.189941;2004.359985;3460500
02.10.2018;1999.98999;1965.77002;2013.390015;1971.310059;5400700
03.10.2018;1981.699951;1949.810059;1989.699951;1952.76001;5253100
04.10.2018;1949;1896.569946;1956;1909.420044;7257000
05.10.2018;1917.98999;1862.829956;1929.079956;1889.650024;6822300
08.10.2018;1874;1830.660034;1902;1864.420044;7393200
09.10.2018;1859.98999;1852.319946;1896.680054;1870.319946;4772900
10.10.2018;1857.890015;1754.410034;1858.560059;1755.25;10988900
11.10.2018;1724;1685.099976;1755.400024;1719.359985;13935900
12.10.2018;1808;1742.530029;1808.949951;1788.609985;9444600
15.10.2018;1795;1734.22998;1795.050049;1760.949951;6437200
16.10.2018;1783.5;1761.550049;1823.880005;1819.959961;5859900
17.10.2018;1842.790039;1807;1845;1831.72998;5295200
18.10.2018;1821.48999;1767.869995;1830.150024;1770.719971;5874000
19.10.2018;1785.160034;1753;1809.099976;1764.030029;5907200
22.10.2018;1784;1756;1809.5;1789.300049;4500000
23.10.2018;1742.23999;1714;1776.339966;1768.699951;6723900
24.10.2018;1773.699951;1656.560059;1777.709961;1664.199951;6928400
25.10.2018;1703.339966;1692.01001;1794.810059;1782.170044;10285700
26.10.2018;1649.589966;1603;1698.459961;1642.810059;14963800
29.10.2018;1660;1495;1665.73999;1538.880005;13866100
30.10.2018;1486.160034;1476.359985;1540.98999;1530.420044;12460100
31.10.2018;1569.98999;1565.089966;1623.910034;1598.01001;9390200
01.11.2018;1623.530029;1598.439941;1670.449951;1665.530029;8135500
02.11.2018;1678.589966;1651.829956;1697.439941;1665.530029;6955500
05.11.2018;1657.569946;1596.359985;1658.089966;1627.800049;5624700
06.11.2018;1618.349976;1614.550049;1665;1642.810059;4257400
07.11.2018;1673;1664.079956;1759.22998;1755.48999;8192200
08.11.2018;1755;1725.109985;1784;1754.910034;6534900
09.11.2018;1732.5;1701.869995;1743.920044;1712.430054;5902200
12.11.2018;1698.23999;1630.01001;1708.550049;1636.849976;6806200
13.11.2018;1649.290039;1613.75;1677.060059;1631.170044;5933300
14.11.2018;1656.319946;1597.069946;1673;1599.01001;6486900
15.11.2018;1581.01001;1546.51001;1624.819946;1619.439941;8427300
16.11.2018;1587.5;1573.119995;1614.47998;1593.410034;6066100
19.11.2018;1577.01001;1503.359985;1581.189941;1512.290039;7790000
20.11.2018;1437.5;1420;1534.75;1495.459961;10878800
21.11.2018;1542.98999;1515;1550;1516.72998;5716800
23.11.2018;1517;1501.810059;1536.199951;1502.060059;2707600
26.11.2018;1539;1524.219971;1584.810059;1581.329956;6257700
27.11.2018;1575.98999;1558.01001;1597.650024;1581.420044;5783200
28.11.2018;1613.920044;1601.219971;1681.449951;1677.75;8458700
29.11.2018;1674.98999;1652.329956;1689.98999;1673.569946;6613200
30.11.2018;1679.5;1666.5;1696;1690.170044;5761800
03.12.2018;1769.459961;1730;1778.339966;1772.359985;6862300
04.12.2018;1756;1665;1770.339966;1668.400024;8694500
06.12.2018;1614.869995;1609.849976;1701.050049;1699.189941;8789400
07.12.2018;1705.069946;1625.459961;1718.930054;1629.130005;7576100
10.12.2018;1623.839966;1590.869995;1657.98999;1641.030029;7494800
11.12.2018;1678;1619.599976;1679.469971;1643.23999;6244700
12.12.2018;1669;1660.27002;1704.98999;1663.540039;6598000
13.12.2018;1680;1641.5;1692.119995;1658.380005;5271300
14.12.2018;1638;1585;1642.569946;1591.910034;6367200
17.12.2018;1566;1505.01001;1576.130005;1520.910034;8829800
18.12.2018;1540;1523.01001;1567.550049;1551.47998;6523000
19.12.2018;1543.050049;1483.180054;1584.530029;1495.079956;8792200
20.12.2018;1484;1432.689941;1509.5;1460.829956;9991800
21.12.2018;1464.98999;1363.959961;1480;1377.449951;13640300
24.12.2018;1346;1307;1396.030029;1343.959961;7220000
26.12.2018;1368.890015;1363.01001;1473.160034;1470.900024;10411800
27.12.2018;1454.199951;1390.310059;1469;1461.640015;9722000
28.12.2018;1473.349976;1449;1513.469971;1478.02002;8829000
31.12.2018;1510.800049;1487;1520.76001;1501.969971;6954500
02.01.2019;1465.199951;1460.930054;1553.359985;1539.130005;7983100
03.01.2019;1520.01001;1497.109985;1538;1500.280029;6975600
04.01.2019;1530;1518.310059;1594;1575.390015;9182600
07.01.2019;1602.310059;1589.189941;1634.560059;1629.51001;7993200
08.01.2019;1664.689941;1616.609985;1676.609985;1656.579956;8881400
09.01.2019;1652.97998;1641.400024;1667.800049;1659.420044;6348800
10.01.2019;1641.01001;1621.619995;1663.25;1656.219971;6507700
11.01.2019;1640.550049;1636.219971;1660.290039;1640.560059;4686200
14.01.2019;1615;1595.150024;1648.199951;1617.209961;6005900
15.01.2019;1632;1626.01001;1675.160034;1674.560059;5998500
16.01.2019;1684.219971;1675.880005;1705;1683.780029;6366900
17.01.2019;1680;1677.5;1700.170044;1693.219971;4208900
18.01.2019;1712;1691.540039;1716.199951;1696.199951;6020500
22.01.2019;1681;1610.199951;1681.869995;1632.170044;6416800
23.01.2019;1656;1612;1657.430054;1640.02002;5225200
24.01.2019;1641.069946;1631.780029;1657.26001;1654.930054;4089900
25.01.2019;1670.5;1661.609985;1683.47998;1670.569946;4945900
28.01.2019;1643.589966;1614.089966;1645;1637.890015;4837700
29.01.2019;1631.27002;1590.719971;1632.380005;1593.880005;4632800
30.01.2019;1623;1619.680054;1676.949951;1670.430054;5783800
31.01.2019;1692.849976;1679.079956;1736.410034;1718.72998;10910300
01.02.2019;1638.880005;1622.01001;1673.060059;1626.22998;11506200
04.02.2019;1623;1613.5;1649.630005;1633.310059;4929100
05.02.2019;1643.339966;1642.5;1665.26001;1658.810059;4453100
06.02.2019;1670.75;1633.339966;1672.26001;1640.26001;3939900
07.02.2019;1625;1592.910034;1625.540039;1614.369995;4626600
08.02.2019;1586;1566.76001;1588.589966;1588.219971;5657500
11.02.2019;1600.97998;1586;1609.290039;1591;3317300
12.02.2019;1604;1598.880005;1639.400024;1638.01001;4858600
13.02.2019;1647;1637.109985;1656.380005;1640;3560300
14.02.2019;1624.5;1606.060059;1637.900024;1622.650024;4120500
15.02.2019;1627.859985;1604.5;1628.910034;1607.949951;4343900
19.02.2019;1601;1600.56;1634;1627.23;1888575
20.02.2019;1630;1610.12;1634.93;1622.12;1678423
21.02.2019;1619.85;1600.91;1623.56;1619.49;1881385
22.02.2019;1623.5;1621.17;1634.94;1630.71;1482162
25.02.2019;1641.45;1630.3873;1654.6;1632.1549;1644170
26.02.2019;1625.98;1616.1335;1639.99;1637.52;1381078
27.02.2019;1628.18;1615.1;1641.81;1640.0417;1771952
28.02.2019;1635.25;1633.83;1651.77;1639.7432;1358043
01.03.2019;1655.13;1651;1674.26;1670.51;2487555
04.03.2019;1685;1674.36;1709.43;1695.46;3407488
05.03.2019;1702.95;1689.01;1707.8;1693.58;1986651
06.03.2019;1695.97;1668.28;1697.75;1670;2253299
